permno,duration,end_year,start_year
23851,11,1981,1963
57947,3,1981,1975
12079,11,1981,1961
59790,2,1981,1979
18490,1,1981,1977
23026,5,1981,1963
47079,5,1981,1974
24870,6,1981,1963
49568,7,1981,1972
23085,6,1981,1963
27722,2,1981,1979
39571,2,1981,1974
21370,6,1981,1964
24440,11,1981,1963
47335,6,1981,1970
18251,3,1981,1977
17726,5,1981,1964
46447,3,1981,1971
12570,7,1981,1968
39635,3,1981,1978
35203,5,1981,1969
26607,6,1981,1975
53102,6,1981,1973
49891,3,1981,1972
61014,6,1981,1974
47191,8,1981,1970
11447,1,1981,1976
27959,5,1981,1964
58202,1,1981,1975
18016,13,1981,1961
25873,6,1981,1972
48178,1,1981,1976
20415,2,1981,1977
65614,1,1981,1980
21792,10,1981,1963
24109,6,1981,1963
45480,1,1982,1981
42569,5,1982,1975
20993,2,1982,1981
40301,4,1982,1971
72988,5,1982,1975
59387,2,1982,1976
14525,2,1982,1976
18455,4,1982,1974
54536,4,1982,1975
35166,9,1982,1972
33532,1,1982,1980
28636,1,1982,1977
47423,1,1982,1980
58886,6,1982,1975
52898,6,1982,1977
45647,10,1982,1969
56362,5,1982,1974
30744,8,1982,1970
29663,2,1982,1979
53508,7,1982,1974
21872,1,1982,1978
37284,1,1982,1979
52599,6,1982,1976
30509,1,1982,1976
10890,13,1982,1968
44492,8,1982,1969
58763,1,1982,1978
45954,1,1982,1980
61508,6,1982,1976
70923,5,1982,1974
27538,1,1982,1980
59942,4,1982,1975
40352,6,1982,1972
39204,2,1982,1979
26438,13,1982,1964
42550,3,1982,1967
34121,3,1982,1976
17128,1,1982,1978
15975,8,1982,1974
39263,1,1982,1977
25849,1,1982,1980
48004,1,1982,1978
62017,6,1982,1975
48645,6,1982,1974
47766,2,1982,1980
38711,10,1982,1965
59141,2,1982,1976
50948,3,1982,1973
13100,1,1982,1977
22170,2,1982,1977
57542,1,1982,1980
33233,2,1982,1980
58827,5,1982,1974
47459,1,1982,1977
26622,10,1982,1964
10656,2,1982,1977
53989,6,1982,1975
25312,2,1982,1978
10146,1,1982,1981
22947,1,1982,1963
25989,4,1982,1977
56223,2,1982,1975
54164,4,1982,1974
46594,2,1982,1974
29701,1,1982,1982
34745,9,1982,1972
17073,3,1982,1980
28484,3,1982,1975
15385,5,1982,1975
16361,1,1982,1980
83396,3,1982,1974
15203,3,1982,1976
49517,9,1982,1971
19561,2,1982,1980
43510,4,1982,1969
69323,5,1982,1975
38797,10,1982,1969
49278,2,1982,1979
45655,10,1982,1969
24192,9,1982,1964
36177,10,1982,1968
39108,5,1982,1968
82705,6,1982,1974
44935,10,1982,1969
21450,5,1982,1975
49744,2,1982,1977
64880,1,1982,1979
51457,2,1982,1974
12749,12,1982,1969
40054,1,1982,1980
35756,1,1983,1982
29102,3,1983,1980
22841,1,1983,1981
60513,4,1983,1976
38886,1,1983,1982
13523,7,1983,1976
20386,6,1983,1972
57614,2,1983,1981
12715,1,1983,1978
38317,1,1983,1980
27406,1,1983,1979
20458,9,1983,1966
50382,1,1983,1976
63757,1,1983,1983
57841,1,1983,1983
65700,2,1983,1975
40970,2,1983,1981
59467,5,1983,1975
28652,2,1983,1980
54957,1,1983,1982
63175,5,1983,1978
65315,1,1983,1981
25743,6,1983,1975
50366,5,1983,1973
45428,2,1983,1981
57592,8,1983,1975
62615,1,1983,1983
60329,2,1983,1981
28557,3,1983,1980
59193,1,1983,1982
10487,1,1983,1980
54594,3,1983,1974
30825,7,1983,1975
10161,3,1983,1975
12431,11,1983,1961
58069,3,1983,1976
14892,5,1983,1978
47001,5,1983,1970
61111,1,1983,1982
59030,1,1983,1981
45226,1,1983,1981
57488,2,1983,1981
71635,2,1983,1982
27422,4,1983,1976
12511,2,1983,1976
20862,1,1983,1982
19254,10,1983,1970
76340,8,1983,1975
80099,2,1983,1974
78968,1,1983,1978
14656,2,1983,1975
12221,3,1983,1981
65817,1,1983,1974
60732,9,1983,1974
61663,7,1983,1975
41583,1,1983,1983
48523,1,1983,1980
63722,1,1983,1982
46149,3,1983,1980
30430,1,1983,1975
19350,4,1983,1975
10006,1,1983,1975
58675,8,1983,1975
22082,6,1983,1966
82342,1,1983,1982
58713,2,1983,1981
60346,2,1983,1979
41769,9,1983,1972
14788,2,1983,1981
69893,1,1983,1981
17014,1,1983,1983
19414,6,1983,1975
62360,4,1983,1980
29532,10,1983,1969
41208,2,1983,1979
70907,4,1983,1980
26593,16,1983,1961
51211,9,1983,1972
23579,10,1983,1968
22905,5,1983,1976
16994,2,1983,1980
59096,5,1983,1976
67396,2,1983,1982
15254,1,1983,1983
69076,1,1983,1981
11703,17,1983,1961
49235,2,1983,1981
63052,1,1983,1983
36492,1,1983,1982
61210,2,1983,1982
53883,1,1983,1982
55117,2,1983,1976
10516,3,1983,1976
26542,4,1983,1961
61313,5,1983,1975
14446,3,1983,1981
73729,4,1983,1975
58472,2,1983,1981
48274,1,1983,1972
18738,1,1983,1983
34673,4,1983,1979
38333,5,1983,1974
50623,4,1983,1979
29138,1,1983,1982
63781,3,1983,1981
60580,2,1983,1975
40871,4,1983,1978
26279,7,1983,1975
38851,1,1983,1981
41320,3,1983,1969
60071,2,1983,1981
37912,2,1983,1979
63570,1,1983,1983
28441,5,1983,1971
49787,1,1983,1981
27983,15,1983,1964
51203,2,1983,1978
63917,3,1983,1980
32803,9,1983,1970
83804,1,1983,1982
24141,1,1983,1976
74393,1,1983,1982
58608,2,1983,1979
48936,5,1983,1971
57883,5,1983,1975
45356,9,1983,1970
13928,6,1983,1975
23317,2,1983,1976
63626,2,1983,1980
21557,3,1983,1977
13515,1,1983,1983
58165,9,1983,1975
28012,1,1983,1983
62340,1,1983,1982
